fact,explanation,gen_time
"[2, 0, 19, 0, 30, 12, 1, 0, 13, 7, 30, 8, 0, 0, 8, 1, 30, 2, 11, 0, 13, 1, 30, 8, 5, 0, 13, 0, 30, 1, 5, 0, 6, 1, -3, 0, 1, 599]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0.04700016975402832
"[2, 0, 33, 2, 30, 11, 0, 0, 11, 3, 30, 10, 0, 0, 10, 0, 30, 4, 7, 0, 11, 3, 30, 10, 1, 0, 11, 0, 30, 2, 6, 0, 8, 1, -3, 0, 1, 1019]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0.0010006427764892578
"[2, 1, 5, 8, 30, 9, 0, 0, 9, 3, 30, 8, 0, 0, 8, 0, 30, 3, 6, 0, 9, 1, 30, 7, 2, 0, 9, 0, 30, 2, 4, 0, 6, 0, 22, 0, 0, 179]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",0.0
"[2, 2, 27, 1, 30, 3, 1, 0, 4, 0, 30, 6, 0, 0, 6, 0, 30, 0, 4, 0, 4, 3, 30, 4, 0, 0, 4, 1, 30, 3, 0, 0, 3, 1, -3, 0, 1, 819]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0.0010001659393310547
"[2, 4, 11, 0, 30, 9, 3, 0, 12, 0, 30, 8, 2, 0, 10, 0, 30, 4, 8, 0, 12, 0, 30, 9, 3, 0, 12, 1, 30, 2, 7, 0, 9, 1, -3, 0, 1, 359]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",0.0
"[2, 2, 29, 3, 30, 11, 1, 0, 12, 0, 30, 0, 2, 0, 2, 0, 30, 6, 6, 0, 12, 0, 30, 9, 3, 0, 12, 2, 30, 2, 2, 0, 4, 1, -3, 0, 1, 899]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",0.0
"[2, 3, 24, 6, 30, 5, 4, 0, 9, 0, 30, 2, 0, 0, 2, 0, 30, 2, 7, 0, 9, 0, 30, 4, 5, 0, 9, 1, 30, 1, 4, 0, 5, 1, -3, 0, 1, 739]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",0.00099945068359375
"[2, 2, 6, 3, 30, 9, 0, 0, 9, 6, 30, 4, 0, 0, 4, 0, 30, 3, 6, 0, 9, 2, 30, 7, 2, 0, 9, 1, 30, 1, 4, 0, 5, 0, 22, 0, 0, 199]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",0.0
"[2, 2, 17, 3, 30, 4, 0, 0, 4, 0, 30, 2, 2, 0, 4, 0, 30, 0, 4, 0, 4, 4, 30, 4, 0, 0, 4, 0, 30, 1, 2, 0, 3, 1, -3, 0, 1, 519]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0.0
"[2, 4, 11, 2, 30, 2, 0, 0, 2, 0, 30, 0, 0, 0, 0, 0, 30, 1, 1, 0, 2, 0, 30, 2, 0, 0, 2, 0, 30, 0, 1, 0, 1, 1, -3, 0, 1, 339]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0010001659393310547
